topic,label,size,share_%,coherence_cv,keywords
-1,noise / outliers,1662,39.12,,"bank, central bank, central, child, democratic, biden, know, military, big, coming"
0,mueller · fisa · fbi,366,8.62,0.5566,"mueller, fisa, fbi, doj, fired, investigation, rr, director, senate, general"
1,patriot · patriots · god,226,5.32,0.6061,"patriot, patriots, god, bless, united, god bless, liberty, america, stand, nation"
2,qa · isnt · perfectly,149,3.51,0.4978,"qa, isnt, perfectly, know read, learning, roger, leaving, 5347, precursor, loop"
3,attacks · msm · wash post,106,2.5,0.3633,"attacks, msm, wash post, cos world, conspiracy, media cos, movement, wash, cos, constant"
4,believe coincidences · coincidences · believe,85,2.0,0.4064,"believe coincidences, coincidences, believe, coincidences think, mathematically impossible, mathematically, coincidences mathematically, coincidence, coincidences coincidences, impossible"
5,map · news unlocks · unlocks,78,1.84,0.5919,"map, news unlocks, unlocks, future proves, proves past, proves, unlocks map, future, past, past news"
6,tweet · potus tweet · ss,70,1.65,0.372,"tweet, potus tweet, ss, twitter, disasters, action, potus twitter, tweets, communities, taking effective"
7,viewpoint · divided · suppression,67,1.58,0.3792,"viewpoint, divided, suppression, happens news, fact, control narrative, fiction, echo, aggression, news longer"
8,anons · anon · impressive,63,1.48,0.2971,"anons, anon, impressive, anons knew, thank anon, knew, anons know, anons understand, impressive impressive, course"
9,board · archive · sniffer,58,1.37,0.5359,"board, archive, sniffer, comms, cm, enhance, return publicly, learn comms, privately, devices"
10,covid19 · virus · virus election,55,1.29,0.409,"covid19, virus, virus election, lockdowns, homes, patients, positive, lockdown, election virus, capacity"
11,yes · aw · freedom,54,1.27,0.3054,"yes, aw, freedom, ex, stand freedom, 271, conf, ok, red, freedom stand"
12,normal · people stupid · swamp,46,1.08,0.2913,"normal, people stupid, swamp, ask normal, stupid, enjoy, stupid people, swamp runs, people sick, sick"
13,donations · blm · money,44,1.04,0.473,"donations, blm, money, audits, foreign aid, salary, taxpayer, net worth, expenses, funds"
14,hussein · isis · did hussein,43,1.01,0.246,"hussein, isis, did hussein, backup, hussein travel, stringer, hard swallow, video, destroy, red"
15,error · disregard · spelling,42,0.99,0.5123,"error, disregard, spelling, password, click, mistakes, busy day, misspellings, misspellings matter, mistake"
16,look like · panic · fear,41,0.97,0.4723,"look like, panic, fear, heart, panic good, visiting wh, thank visiting, panic mode, attack fear, like"
