topic,label,size,share_%,coherence_cv,keywords
-1,noise / outliers,1437,33.83,,"bank, central bank, central, fired, people, democratic, public, child, power, think"
0,did · mueller · fbi,704,16.57,0.4818,"did, mueller, fbi, fisa, house, rr, sessions, potus, hussein, sa"
1,map · confirmed · news unlocks,692,16.29,0.3779,"map, confirmed, news unlocks, unlocks, future, error, proves past, future proves, proves, test"
2,media · fake · fake news,288,6.78,0.5426,"media, fake, fake news, news, narrative, divided, control, attacks, antifa, happens"
3,god · patriots · bless,276,6.5,0.404,"god, patriots, bless, god bless, united, patriot, thank, stand, children, fight"
4,twitter · jack · tweet,161,3.79,0.461,"twitter, jack, tweet, tweets, snowden, potus, potus twitter, fb, timestamp, graphic"
5,yes · freedom · aw,149,3.51,0.397,"yes, freedom, aw, ha, ex, conf, ok, 271, stand freedom, board"
6,coincidence · odds · mathematically impossible,85,2.0,0.2947,"coincidence, odds, mathematically impossible, impossible, mathematically, coincidences, coincidence coincidence, believe coincidences, boom, boom boom"
7,covid19 · virus · virus election,62,1.46,0.4127,"covid19, virus, virus election, biden, election, benefits, homes, lockdowns, lockdown, patients"
8,anons · anon · impressive,59,1.39,0.2348,"anons, anon, impressive, anons knew, thank anon, knew, pb, anons know, course anons, impressive impressive"
9,insurgency · warfare · information warfare,49,1.15,0.4126,"insurgency, warfare, information warfare, subversion, seize, government, political, shadow, population, shadow presidency"
10,vip · vip patriot · enjoy,42,0.99,0.3012,"vip, vip patriot, enjoy, patriot, vip patriots, eyes, 55, patriots, patriots eyes, row"
11,believe coincidences · coincidences · coincidences believe,41,0.97,0.4582,"believe coincidences, coincidences, coincidences believe, believe, coincidences think, enjoy, tonight, chapters, coincidence enjoy, coincidences coincidence"
12,voter · id · voter id,40,0.94,0.3717,"voter, id, voter id, ca, immigrants, vote, votes, road, ballots, illegal"
13,worth remembering · remembering · worth,39,0.92,0.4354,"worth remembering, remembering, worth, good movie, worth following, forget, movie, makes, remember, remember names"
14,wwg1wga wwg1wga · wwg1wga · john brennan,38,0.89,0.4277,"wwg1wga wwg1wga, wwg1wga, john brennan, divide fail, fail wwg1wga, wrwy, attempts divide, divide, brennan, fail"
15,wwg1wga wwg1wga · wwg1wga · visible,33,0.78,0.3782,"wwg1wga wwg1wga, wwg1wga, visible, letters, match, follow pen, written, pen, left, follow"
16,truth right · knowledge power · knowledge,27,0.64,0.3792,"truth right, knowledge power, knowledge, truth, right, difficult, entire time, capable, need help, look truth"
17,trip · trip update · update,26,0.61,0.3493,"trip, trip update, update, trip code, tripcode, devices, confirmed, multiple, working, relay"
