topic,label,size,share_%,coherence_cv,keywords
-1,noise / outliers,1666,39.22,,"bank, central bank, central, democratic, child, ready, placeholder, trust, game, change"
0,mueller · fbi · fisa,545,12.83,0.6729,"mueller, fbi, fisa, doj, rr, huber, sessions, fired, investigation, sc"
1,divided · media · attacks,250,5.89,0.5042,"divided, media, attacks, antifa, fake news, fake, narrative, news, controlled, viewpoint"
2,patriots · patriot · bless,187,4.4,0.3898,"patriots, patriot, bless, god bless, god, thank, america, united, stand, thank service"
3,twitter · ss · tweet,78,1.84,0.378,"twitter, ss, tweet, action, potus, failed, patterns, taking effective, action twitter, effective middec"
4,unlocks · news unlocks · unlocks map,73,1.72,0.4373,"unlocks, news unlocks, unlocks map, map, proves, proves past, future proves, future, past, know future"
5,anons · anon · anons knew,62,1.46,0.2655,"anons, anon, anons knew, impressive, knew, good anons, anons know, impressive impressive, thank anon, course"
6,boom · boom boom · big big,61,1.44,0.4244,"boom, boom boom, big big, big, familiar, 2019 year, bigger possibly, nons, week boom, step time"
7,covid19 · virus · virus election,60,1.41,0.4606,"covid19, virus, virus election, homes, patients, influenza, positive, lockdown, election virus, election"
8,snowden · china · russia,55,1.29,0.4175,"snowden, china, russia, truth power, barlow, elec, russia russia, travel, destination, end potus"
9,yes · aw · freedom,50,1.18,0.3733,"yes, aw, freedom, ex, 271, stand freedom, castle, conf, ok, stage"
10,knowingly knowingly · 000 · knowingly,45,1.06,0.445,"knowingly knowingly, 000, knowingly, marathon, review time, seconds, sample, complete, follow events, 00000"
11,test test · test · loop,45,1.06,0.4456,"test test, test, loop, eyes, room https, technically, triggered, fifth, apache, codemonkey"
12,wwg1wga wwg1wga · wwg1wga · visible,43,1.01,0.388,"wwg1wga wwg1wga, wwg1wga, visible, wwg1wga god, unitednotdivided, try harder, answered, worldwide, unitednotdivided wwg1wga, moment time"
13,nk · iran · deal,42,0.99,0.4299,"nk, iran, deal, nuclear, eu, iran deal, covered, gold, controls nk, selling"
14,hussein · isis · did hussein,41,0.97,0.2205,"hussein, isis, did hussein, language, destroy, russian, stringer, language learn, russian russian, common language"
15,vigilant · watching · surroundings,40,0.94,0.4352,"vigilant, watching, surroundings, people watching, world watching, stay alert, deadly, big coming, times, say"
16,armor · armor god · lord,40,0.94,0.7152,"armor, armor god, lord, spirit, spiritual, evil, god, lord mighty, righteousness, mighty"
17,happening · pattern · dog heshe,39,0.92,0.3879,"happening, pattern, dog heshe, does dog, days news, news ww, garage, heshe bone, bone, 41020"
18,explore · painfully obvious · depth,38,0.89,0.4819,"explore, painfully obvious, depth, painfully, pool, carefully, read carefully, water, important understand, listen carefully"
19,coincidence coincidence · coincidence · amazing coincidence,37,0.87,0.4017,"coincidence coincidence, coincidence, amazing coincidence, amazing, isnt, interesting, alt media, board power, coincidence days, cfr"
20,voter · id · voter id,36,0.85,0.4624,"voter, id, voter id, immigrants, votes, ballots, blank, vote, illegal, elections"
21,wwg1wga wwg1wga · wwg1wga · enjoyed,34,0.8,0.2263,"wwg1wga wwg1wga, wwg1wga, enjoyed, ben, wrwy, thank"
22,party · black · party leader,34,0.8,0.2609,"party, black, party leader, welcome party, time witnessed, black pop, leader, welcome, witnessed, pop"
23,wwg1wga · fight wwg1wga · appreciative,33,0.78,0.2899,"wwg1wga, fight wwg1wga, appreciative, united wwg1wga, win wwg1wga, upload, stand united, win, natsec, memes memes"
24,information warfare · warfare · guy,32,0.75,0.4498,"information warfare, warfare, guy, mission, good guy, information, battlefield, operator, combat tactics, fisa fisa"
25,remembering · worth remembering · worth,32,0.75,0.5089,"remembering, worth remembering, worth, forget, important remember, remember, relevant focus, quarterback, remember names, remembering note"
26,drop · drops · big drop,32,0.75,0.3463,"drop, drops, big drop, past know, loop capital, capital, sleep, loop, significance, read drops"
27,board · compromised · ip,30,0.71,0.4307,"board, compromised, ip, verify, site, trip, ga, verification, anticipated, posts"
28,error · spelling · disregard,29,0.68,0.4526,"error, spelling, disregard, misspellings matter, misspellings, corrected, errors, correction, mistake, night"
29,trip · trip update · update,29,0.68,0.4229,"trip, trip update, update, tripcode, relay, devices, trip code, management, multiple, confirmed"
30,sa · relevant · sa relevant,28,0.66,0.4504,"sa, relevant, sa relevant, happened, jk, alwaleed, huma, donated, 911, money"
31,coincidences believe · believe coincidences · coincidences,28,0.66,0.2732,"coincidences believe, believe coincidences, coincidences, believe, coincidence twitter, coincidences think, random, coincidences coincidence, coincidence foreknowledge, 107"
32,vip patriot · enjoy · vip,26,0.61,0.3202,"vip patriot, enjoy, vip, patriot, row, pain pain, pain, mode enjoy, row seat, vips"
33,panic dc · panic · dc,24,0.56,0.2453,"panic dc, panic, dc, panic panic, dem, escaping god, fear panic, dem panic, escaping, horowitz storch"
34,confirmed · confirmed confirmed · happy hunting,23,0.54,0.3482,"confirmed, confirmed confirmed, happy hunting, hunting, happy, confirmed good, removed post, post public, qresearch, graphic confirmed"
35,ha · week remember · week,23,0.54,0.4168,"ha, week remember, week, weekend, suicide, big week, week ahead, qa, ahead, schedule"
36,unknown · infiltration · instead invasion,22,0.52,0.229,"unknown, infiltration, instead invasion, infiltration instead, invasion, usss, invasion infiltration, 44, alexander, instead"
37,test · sat · sec,22,0.52,0.7409,"test, sat, sec, hold conf, hold, conf, relay, sig, rel, sat relay"
38,tell public · public truth · tell,22,0.52,0.3182,"tell public, public truth, tell, people change, certain events, truth people, public awareness, forces, speak, legally"
39,salary · iraq · audits money,21,0.49,0.3605,"salary, iraq, audits money, money actually, actually goes, trillions, funds, outsider, audits, scam"
40,trolling fun · people stupid · stupid,21,0.49,0.473,"trolling fun, people stupid, stupid, trolling, fun, exactly, maxine, fishing, irreparably harm, came reason"
41,fb · users · darpa,21,0.49,0.3111,"fb, users, darpa, image, lifelog, reverse, photos, friends, accessible, public private"
42,light dark · dark light · light,20,0.47,0.4098,"light dark, dark light, light, pre, dark, seals, darkness, darkness light, taught trust, v2"
43,love country · love · country,20,0.47,0.4347,"love country, love, country, flag, equality, fought, glory, old glory, stands, lincoln"
44,epstein · rc · temple,20,0.47,0.3777,"epstein, rc, temple, epstein island, island, maxwell, tunnels, boat, untouchable, plane"
45,treason · illegally surv · overthrow,19,0.45,0.3312,"treason, illegally surv, overthrow, overthrow government, person deserts, deserts, illegally, traitor, sedition, betrays"
46,awakening · great awakening · enlightenment,19,0.45,0.273,"awakening, great awakening, enlightenment, great, french, ideals, pop awakening, awakening wwg1wga, unrest, leads"
47,silent war · war continues · silent,18,0.42,0.466,"silent war, war continues, silent, continues, attack fear, war, fighting survival, enemy choice, imagine god, inaction"
48,happiness · government · abolish,17,0.4,0.9378,"happiness, government, abolish, governments, form, invariably object, likely effect, usurpations pursuing, laying, abolish institute"
49,believe coincidences · coincidences · believe,16,0.38,0.4772,"believe coincidences, coincidences, believe, coincidences believe, cs, boom boom, 20 2017, 17 believe, did die, cs np"
